customer_id,age,gender,city,tenure_months,plan_type,monthly_charges,payment_method,auto_renew,last_payment_status,avg_sessions_per_week,avg_session_duration,days_since_last_login,feature_usage_score,support_tickets,avg_ticket_resolution_days,complaints_flag,churn
CUST_00001,56,Female,Pune,2,Standard,799,Debit Card,0,Success,3.3,24.02,74,81.79,2,1.29,0,1
CUST_00002,46,Other,Delhi,26,Premium,299,Debit Card,1,Success,2.77,36.2,20,59.67,0,2.82,0,0
CUST_00003,32,Female,Chennai,4,Premium,799,Credit Card,1,Success,2.77,39.83,32,64.04,3,0.93,1,1
CUST_00004,60,Male,Mumbai,17,Premium,499,Debit Card,1,Success,1.17,36.77,16,78.29,1,3.81,0,0
CUST_00005,25,Female,Hyderabad,17,Premium,799,UPI,0,Success,14.71,23.66,35,76.75,0,3.89,0,1
CUST_00006,38,Male,Pune,28,Basic,499,UPI,1,Success,0.02,23.93,13,48.5,0,3.19,1,0
CUST_00007,56,Male,Chennai,30,Basic,499,Credit Card,0,Success,11.11,18.42,36,72.09,2,2.21,1,1
CUST_00008,36,Female,Delhi,40,Basic,299,UPI,0,Success,6.68,22.55,30,71.88,1,4.04,0,1
CUST_00009,40,Female,Hyderabad,23,Basic,299,NetBanking,0,Success,0.94,17.01,3,66.32,1,1.59,0,0
CUST_00010,28,Female,Delhi,46,Premium,499,NetBanking,0,Success,3.2,24.36,5,81.22,4,1.88,0,0
CUST_00011,28,Male,Hyderabad,24,Premium,799,Debit Card,1,Success,22.48,24.77,49,75.99,0,4.04,1,1
CUST_00012,41,Female,Pune,29,Basic,499,Debit Card,0,Success,5.16,16.36,84,74.55,0,3.82,0,1
CUST_00013,53,Male,Delhi,4,Standard,299,NetBanking,0,Success,0.68,51.85,76,87.31,2,3.82,0,1
CUST_00014,57,Other,Chennai,38,Premium,799,UPI,1,Success,3.06,27.96,37,60.57,1,6.45,1,1
CUST_00015,41,Other,Chennai,29,Standard,799,Credit Card,0,Success,3.16,37.92,78,61.16,2,3.26,1,1
CUST_00016,20,Female,Mumbai,19,Basic,299,Debit Card,1,Success,8.1,37.01,4,76.38,1,2.4,0,0
CUST_00017,39,Female,Hyderabad,27,Standard,299,Debit Card,1,Success,12.39,44.43,37,56.43,3,2.79,0,1
CUST_00018,19,Female,Mumbai,29,Basic,299,NetBanking,0,Success,0.43,15.93,23,69.63,3,0.5,0,0
CUST_00019,41,Female,Bangalore,36,Standard,799,NetBanking,1,Success,1.88,19.55,17,48.8,0,3.58,0,0
CUST_00020,61,Male,Chennai,35,Standard,799,Credit Card,1,Success,1.77,6.86,31,14.41,0,5.12,0,1
CUST_00021,47,Male,Hyderabad,6,Basic,299,Debit Card,0,Success,27.67,8.82,70,71.96,1,2.48,0,1
CUST_00022,55,Female,Pune,23,Premium,299,UPI,1,Success,4.1,14.9,89,29.03,0,4.97,0,1
CUST_00023,19,Female,Mumbai,39,Standard,799,UPI,1,Success,10.59,23.48,71,46.02,1,1.55,0,1
CUST_00024,38,Male,Pune,46,Standard,799,NetBanking,1,Failed,2.78,24.06,88,76.4,1,1.83,0,0
CUST_00025,50,Female,Pune,44,Premium,799,Credit Card,1,Success,6.41,56.75,29,76.64,2,1.83,1,0
CUST_00026,29,Male,Pune,8,Basic,499,NetBanking,0,Success,1.69,30.03,87,83.51,1,0.8,0,1
CUST_00027,39,Female,Mumbai,2,Basic,299,Credit Card,0,Success,12.14,34.7,29,19.61,2,5.19,0,0
CUST_00028,61,Female,Bangalore,13,Premium,499,UPI,0,Success,3.04,26.42,4,65.92,2,3.77,1,0
CUST_00029,42,Female,Mumbai,40,Basic,299,Credit Card,1,Failed,8.14,11.87,3,54.85,0,3.93,0,0
CUST_00030,44,Female,Delhi,21,Premium,799,UPI,1,Success,1.48,27.97,50,79.76,1,1.91,0,1
